lesion_3d_key,lesion_3d_id,included,n_slices,n_components,n_components_included,slice_min,slice_max,span_mm,slices,total_area_mm2,total_agatston,max_peak_hu,max_density_weight,peak_slice_idx,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1
L001,1,True,1,1,1,8,8,3.0,8,4.791500123500825,4.791500123500825,154.0,1,8,254.8571428571429,173.77142857142857,253,170,257,177
L002,2,True,2,3,1,8,9,6.0,8 9,35.86780092449189,143.47120369796755,506.0,4,9,269.4541984732824,195.57251908396947,260,183,276,209
L003,3,True,1,1,1,8,8,3.0,8,2.7380000705719,2.7380000705719,169.0,1,8,279.5,203.5,278,201,281,206
L004,4,True,1,1,1,9,9,3.0,9,1.505900038814545,1.505900038814545,137.0,1,9,245.0909090909091,172.36363636363637,244,171,246,174
L005,5,True,1,1,1,15,15,3.0,15,1.36900003528595,1.36900003528595,176.0,1,15,332.0,230.5,331,229,333,232
L006,6,True,1,1,1,16,16,3.0,16,6.57120016937256,26.28480067749024,430.0,4,16,198.39583333333331,47.395833333333336,195,44,202,51
L007,7,True,2,2,2,21,22,6.0,21 22,13.6900003528595,49.96850128793717,579.0,4,21,319.56999999999994,241.60000000000002,314,238,325,245
L008,8,True,1,1,1,25,25,3.0,25,9.172300236415865,27.516900709247594,346.0,3,25,273.55223880597015,266.2985074626866,269,262,278,270
L009,9,True,1,1,1,27,27,3.0,27,4.791500123500825,14.374500370502474,301.0,3,27,105.17142857142858,275.0,102,272,108,278
L010,10,True,2,2,1,28,29,6.0,28 29,4.517700116443635,9.03540023288727,244.0,2,29,102.57575757575758,261.24242424242425,100,258,105,265
L011,11,True,1,1,1,30,30,3.0,30,5.065300130558015,10.13060026111603,215.0,2,30,150.56756756756758,167.21621621621622,147,165,154,170
L012,12,True,2,2,2,30,31,6.0,30 31,29.159700751590734,74.61050192308427,389.0,3,30,157.018779342723,178.7981220657277,150,172,164,186
L013,13,True,2,2,2,30,31,6.0,30 31,19.576700504589084,58.73010151376725,372.0,3,30,202.86713286713288,178.65734265734264,198,173,207,184
L014,14,True,2,2,2,30,31,6.0,30 31,20.80880053634644,70.36660181369783,638.0,4,30,109.8421052631579,245.22368421052633,104,240,117,253
L015,15,True,2,2,2,32,33,6.0,32 33,13.005500335216524,21.08260054340363,206.0,2,32,261.0842105263158,39.83157894736842,257,35,265,44
