slice_idx,z_mm,lesion_id,label_2d,slice_lesion_key,area_mm2,peak_hu,density_weight,agatston,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,n_voxels,mean_coverage,included,lesion_3d_id,lesion_3d_key
5,15.0,1,1,z005_c01,3.3551042118821055,235.0,2,6.710208423764211,223.5,182.5,221,180,226,185,26,0.9426038265228271,True,1,L001
5,15.0,2,2,z005_c02,7.011944713127151,308.0,3,21.035834139381453,206.50943396226415,188.66037735849056,202,185,211,192,53,0.9664049744606018,True,2,L002
5,15.0,3,3,z005_c03,0.2364359834457985,164.0,1,0.2364359834457985,195.0,195.25,194,195,196,196,4,0.43176767230033875,False,3,L003
6,18.0,4,1,z006_c01,3.469400444762781,255.0,2,6.938800889525562,319.8888888888889,237.55555555555554,317,236,323,239,27,0.9386143684387207,True,4,L004
7,21.0,5,1,z007_c01,1.3788185204175611,190.0,1,1.3788185204175611,320.3636363636364,238.0909090909091,319,237,322,239,11,0.9156109094619751,True,4,L004
20,60.0,6,1,z020_c01,21.06905175460226,360.0,3,63.20715526380678,112.08641975308642,298.87654320987656,106,291,118,307,162,0.950006365776062,True,5,L005
21,63.0,7,1,z021_c01,35.05877989228685,463.0,4,140.2351195691474,116.39772727272727,289.094696969697,109,278,124,301,264,0.9700394868850708,True,5,L005
22,66.0,8,1,z022_c01,32.39019908619954,599.0,4,129.56079634479815,120.10655737704919,279.89344262295083,113,268,127,290,244,0.9696618914604187,True,5,L005
23,69.0,9,1,z023_c01,29.656151267926774,464.0,4,118.6246050717071,121.40990990990991,271.9189189189189,116,261,127,282,222,0.9757944941520691,True,5,L005
24,72.0,10,1,z024_c01,27.776149241930696,454.0,4,111.10459696772278,121.57766990291262,263.05825242718447,116,254,128,273,206,0.9849209189414978,True,5,L005
25,75.0,11,1,z025_c01,5.136368081684834,277.0,2,10.272736163369668,153.175,110.675,150,107,156,114,40,0.9379780888557434,True,6,L006
25,75.0,12,2,z025_c02,12.76579581548834,279.0,2,25.53159163097668,121.78571428571429,259.46938775510205,117,255,127,265,98,0.9515209794044495,True,5,L005
30,90.0,13,1,z030_c01,0.4402445718274133,137.0,1,0.4402445718274133,165.0,154.0,164,153,166,155,5,0.6431622505187988,False,7,L007
30,90.0,14,2,z030_c02,2.048746696635753,190.0,1,2.048746696635753,130.94444444444446,191.77777777777777,129,190,133,194,18,0.8314043879508972,True,8,L008
30,90.0,15,3,z030_c03,8.075087525792698,520.0,4,32.30035010317079,144.11290322580646,195.01612903225808,140,191,148,199,62,0.9513757824897766,True,9,L009
31,93.0,16,1,z031_c01,14.630754424501216,432.0,4,58.523017698004864,214.07894736842104,145.0701754385965,206,141,222,149,114,0.9374722242355347,True,10,L010
31,93.0,17,2,z031_c02,18.822459527506936,567.0,4,75.28983811002774,194.88489208633092,159.62589928057554,184,155,205,164,139,0.9891408085823059,True,11,L011
31,93.0,18,3,z031_c03,4.412690214216132,183.0,1,4.412690214216132,177.0,165.26470588235293,174,163,180,168,34,0.9480277895927429,True,12,L012
31,93.0,19,4,z031_c04,2.656347519868064,164.0,1,2.656347519868064,159.91304347826087,179.7391304347826,157,177,162,182,23,0.8436330556869507,True,13,L013
32,96.0,20,1,z032_c01,5.78902343221673,342.0,3,17.36707029665019,254.29545454545453,30.318181818181817,251,27,258,33,44,0.9610570669174194,True,14,L014
32,96.0,21,2,z032_c02,16.468336583986442,564.0,4,65.87334633594577,212.52032520325204,146.52032520325204,204,142,221,150,123,0.9780051708221436,True,10,L010
32,96.0,22,3,z032_c03,6.371708041199038,264.0,2,12.743416082398076,199.81632653061226,158.46938775510205,195,155,204,161,49,0.9498528242111206,True,11,L011
33,99.0,23,1,z033_c01,8.647611587638119,786.0,4,34.590446350552476,242.87692307692308,28.661538461538463,239,24,247,33,65,0.9718055129051208,True,15,L015
34,102.0,24,1,z034_c01,2.734113880629509,229.0,2,5.468227761259018,243.66666666666666,29.142857142857142,242,27,246,31,21,0.9510291814804077,True,15,L015
