lesion_3d_key,lesion_3d_id,included,n_slices,n_components,n_components_included,slice_min,slice_max,span_mm,slices,total_area_mm2,total_agatston,max_peak_hu,max_density_weight,peak_slice_idx,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1
L001,1,True,1,1,1,5,5,3.0,5,3.3551063008103816,6.710212601620763,235.0,2,5,223.49999999999997,182.49999999999997,221,180,226,185
L002,2,True,1,1,1,5,5,3.0,5,7.011944713127151,21.035834139381453,308.0,3,5,206.50943396226418,188.66037735849056,202,185,211,192
L003,3,False,1,1,0,5,5,3.0,5,0,0,164.0,1,5,195.0,195.25,194,195,196,196
L004,4,True,2,2,2,6,7,6.0,6 7,4.848218965180342,8.317619409943124,255.0,2,6,320.02390560645154,237.70780844982826,317,236,323,239
L005,5,True,6,6,6,20,25,18.0,20 21 22 23 24 25,158.71612914736272,588.263873203872,599.0,4,21,118.85870854519202,278.3668240057632,106,254,128,307
L006,6,True,1,1,1,25,25,3.0,25,5.136367559452765,10.27273511890553,277.0,2,25,153.175,110.67500000000001,150,107,156,114
L007,7,False,1,1,0,30,30,3.0,30,0,0,137.0,1,30,165.00000000000003,154.0,164,153,166,155
L008,8,True,1,1,1,30,30,3.0,30,2.0487469577517876,2.0487469577517876,190.0,1,30,130.94444444444446,191.77777777777777,129,190,133,194
L009,9,True,1,1,1,30,30,3.0,30,8.075087525792698,32.30035010317079,520.0,4,30,144.11290322580646,195.01612903225808,140,191,148,199
L010,10,True,2,2,2,31,32,6.0,31 32,31.099091008487658,124.39636403395063,564.0,4,32,213.25358837589425,145.83809352388775,204,141,222,150
L011,11,True,2,2,2,31,32,6.0,31 32,25.194167046473904,88.03325314796169,567.0,4,31,196.13207195419315,159.33341280269207,184,155,205,164
L012,12,True,1,1,1,31,31,3.0,31,4.412690214216132,4.412690214216132,183.0,1,31,177.0,165.26470588235293,174,163,180,168
L013,13,True,1,1,1,31,31,3.0,31,2.656348042100133,2.656348042100133,164.0,1,31,159.91304347826087,179.7391304347826,157,177,162,182
L014,14,True,1,1,1,32,32,3.0,32,5.78902343221673,17.36707029665019,342.0,3,32,254.29545454545453,30.31818181818182,251,27,258,33
L015,15,True,2,2,2,33,34,6.0,33 34,11.381725468267629,40.05867411181149,786.0,4,33,243.06663498983787,28.777160657071875,239,24,247,33
