slice_idx,z_mm,lesion_id,label_2d,slice_lesion_key,area_mm2,peak_hu,density_weight,agatston,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1,n_voxels,mean_coverage,included,lesion_3d_id,lesion_3d_key
6,18.0,1,1,z006_c01,11.77340030345917,248.0,2,23.54680060691834,296.86046511627904,200.67441860465115,291,195,303,206,86,0.9950156211853027,True,1,L001
6,18.0,2,2,z006_c02,1.09520002822876,123.0,0,0.0,319.875,218.25,319,217,321,220,8,0.8640536069869995,False,2,L002
6,18.0,3,3,z006_c03,12.86860033168793,301.0,3,38.60580099506379,340.82978723404256,243.70212765957447,335,236,347,250,94,0.9887037873268127,True,3,L003
7,21.0,4,1,z007_c01,4.243900109386445,175.0,1,4.243900109386445,283.4516129032258,188.70967741935485,281,186,286,191,31,0.9852864742279053,True,4,L004
7,21.0,5,2,z007_c02,13.553100349330904,301.0,3,40.65930104799271,354.16161616161617,261.09090909090907,349,256,359,267,99,0.9899526834487915,True,5,L005
7,21.0,6,3,z007_c03,3.696300095272065,199.0,1,3.696300095272065,97.92592592592592,364.4074074074074,96,362,100,367,27,0.998275637626648,True,6,L006
9,27.0,7,1,z009_c01,10.815100278759004,373.0,3,32.44530083627701,260.26582278481015,146.49367088607596,256,140,264,153,79,0.9827122688293457,True,7,L007
18,54.0,8,1,z018_c01,0.54760001411438,736.0,4,2.19040005645752,384.25,286.0,384,285,385,287,4,0.8033608198165894,False,8,L008
19,57.0,9,1,z019_c01,0.136900003528595,34.0,0,0.0,93.0,31.0,93,31,93,31,1,0.8865264058113098,False,9,L009
19,57.0,10,2,z019_c02,0.136900003528595,22.0,0,0.0,93.0,33.0,93,33,93,33,1,0.9785153865814209,False,10,L010
19,57.0,11,3,z019_c03,0.136900003528595,36.0,0,0.0,94.0,34.0,94,34,94,34,1,0.9962944388389587,False,11,L011
20,60.0,12,1,z020_c01,0.136900003528595,304.0,3,0.410700010585785,187.0,85.0,187,85,187,85,1,0.6614423990249634,False,12,L012
20,60.0,13,2,z020_c02,3.55940009174347,576.0,4,14.23760036697388,374.5,289.15384615384613,372,287,377,292,26,0.9691895246505737,True,13,L013
21,63.0,14,1,z021_c01,3.148700081157685,258.0,2,6.29740016231537,373.7826086956522,288.8695652173913,371,287,376,291,23,0.96443110704422,True,13,L013
23,69.0,15,1,z023_c01,2.327300059986115,162.0,1,2.327300059986115,362.3529411764706,285.52941176470586,360,284,364,287,17,0.9739114046096802,True,14,L014
