lesion_3d_key,lesion_3d_id,included,n_slices,n_components,n_components_included,slice_min,slice_max,span_mm,slices,total_area_mm2,total_agatston,max_peak_hu,max_density_weight,peak_slice_idx,centroid_x,centroid_y,bbox_x0,bbox_y0,bbox_x1,bbox_y1
L001,1,True,1,1,1,6,6,3.0,6,10.108059420013427,20.216118840026855,248.0,2,6,296.83116883116884,200.5064935064935,291,195,303,205
L002,2,False,1,1,0,6,6,3.0,6,0,0,123.0,0,6,319.95,217.75,318,216,322,220
L003,3,True,1,1,1,6,6,3.0,6,9.396963185882568,28.1908895576477,301.0,3,6,341.3333333333333,244.53333333333333,336,238,346,250
L004,4,True,1,1,1,7,7,3.0,7,3.088935241317749,3.088935241317749,175.0,1,7,283.6666666666667,188.875,281,187,286,191
L005,5,True,1,1,1,7,7,3.0,7,10.635541996765136,31.90662599029541,301.0,3,7,353.81481481481484,261.08641975308643,349,256,358,266
L006,6,True,1,1,1,9,9,3.0,9,10.109960344696045,30.329881034088135,373.0,3,9,260.2105263157895,146.48684210526315,256,140,264,153
L007,7,False,1,1,0,10,10,3.0,10,0,0,151.0,1,10,376.3333333333333,281.6666666666667,376,281,377,282
L008,8,False,1,1,0,19,19,3.0,19,0,0,44.0,0,19,93.55555555555556,32.888888888888886,93,30,95,35
L009,9,True,2,2,2,21,22,6.0,21 22,2.4373473499298095,3.6134306507110594,204.0,2,21,180.00291234472488,89.00582468944977,179,87,181,91
L010,10,True,2,2,2,23,24,6.0,23 24,5.0416144262313844,8.42020881061554,213.0,2,24,361.5692481011402,285.1611531572491,359,282,364,287
L011,11,False,1,1,0,24,24,3.0,24,0,0,242.0,2,24,180.50000000000003,95.0,180,95,181,95
L012,12,True,2,2,2,25,26,6.0,25 26,6.203353840255737,6.203353840255737,196.0,1,26,346.61336675528133,284.05838511808344,343,281,350,287
L013,13,True,2,3,3,27,28,6.0,27 28,64.06944231567383,235.02670137939455,660.0,4,27,309.95148401812173,258.2297398712029,289,251,332,268
L014,14,False,1,1,0,29,29,3.0,29,0,0,204.0,2,29,188.57142857142858,138.28571428571428,188,137,189,140
L015,15,True,1,1,1,29,29,3.0,29,1.8057131620407103,1.8057131620407103,133.0,1,29,144.6,304.06666666666666,143,302,146,306
L016,16,True,3,3,3,31,33,9.0,31 32 33,73.00025072402954,281.34491106796264,703.0,4,32,245.31010088508063,166.7486086851602,224,160,261,176
L017,17,True,1,1,1,31,31,3.0,31,5.228695965576172,10.457391931152344,253.0,2,31,135.325,254.55,132,252,139,257
L018,18,True,1,1,1,31,31,3.0,31,3.2987247360229492,3.2987247360229492,163.0,1,31,164.99999999999997,284.5,163,282,167,287
L019,19,False,1,1,0,32,32,3.0,32,0,0,133.0,1,32,163.5,265.5,163,265,164,266
L020,20,True,2,2,2,33,34,6.0,33 34,9.810109320831298,16.549215282440183,269.0,2,34,231.87910861890487,182.50988611262562,227,179,236,187
L021,21,True,2,3,3,33,34,6.0,33 34,62.135998242950436,165.51803360061643,365.0,3,33,202.0333076990733,214.15061550437304,186,192,224,231
